Numero,Mot,example sentence (facile),Corrected Sentence
1382,workshop,The team attended a workshop on leadership development.,The team attended a workshop on leadership development.
1383,worth,The new software is worth the investment due to its advanced features.,The new software is worth the investment due to its advanced features.
1384,worthless,The outdated equipment was deemed worthless and was disposed of.,The outdated equipment was deemed worthless and was disposed of.
1385,wrap,Please wrap the gifts carefully before sending them out.,Please wrap the gifts carefully before sending them out.
1386,Write off,The company decided to write off the bad debt as uncollectible.,The company decided to write off the bad debt as uncollectible.
1387,X-ray, An X-ray of the equipment revealed a critical flaw that needed addressing., An X-ray of the equipment revealed a critical flaw that needed addressing.
1388,yearly,The company conducts yearly performance reviews for all employees.,The company conducts yearly performance reviews for all employees.
1389,Yield,The new marketing strategy is expected to yield significant returns.,The new marketing strategy is expected to yield significant returns.
1390,yield,The investment yielded a high return over the last five years.,The investment yielded a high return over the last five years. (Ajout de 'yield')
1391,youth,Youth: The company sponsors programs that support youth entrepreneurship.,Youth: The company sponsors programs that support youth entrepreneurship.
